"","bestCostByT","temperatures"
"793",1459620444,444589,990853923
"794",1459620444,440144,090945384
"795",1459620444,435742,65003593
"796",1459620444,431385,223535571
"797",1459620444,427071,371300215
"798",1459620444,422800,657587213
"799",1459620444,418572,651011341
"800",1459620444,414386,924501227
"801",1459620444,410243,055256215
"802",1459620444,406140,624703653
"803",1459620444,402079,218456616
"804",1459620444,398058,42627205
"805",1459620444,394077,84200933
"806",1459620444,390137,063589236
"807",1459620444,386235,692953344
"808",1459620444,382373,336023811
"809",1459620444,378549,602663572
"810",1459620444,374764,106636937
"811",1459620444,371016,465570567
"812",1459620444,367306,300914862
"813",1459620444,363633,237905713
"814",1459620444,359996,905526656
"815",1459620444,356396,936471389
"816",1459620444,352832,967106675
"817",1459620444,349304,637435609
"818",1459620444,345811,591061253
"819",1459620444,342353,47515064
"820",1459620444,338929,940399134
"821",1459620444,335540,640995142
"822",1459620444,332185,234585191
"823",1459620444,328863,382239339
"824",1459620444,325574,748416946
"825",1459620444,322319,000932776
"826",1459620444,319095,810923448
"827",1459620444,315904,852814214
"828",1459620444,312745,804286072
"829",1459620444,309618,346243211
"830",1459620444,306522,162780779
"831",1459620444,303456,941152971
"832",1459620444,300422,371741441
"833",1459620444,297418,148024027
"834",1459620444,294443,966543787
"835",1459620444,291499,526878349
"836",1459620444,288584,531609565
"837",1459620444,285698,68629347
"838",1459620444,282841,699430535
"839",1459620444,280013,28243623
"840",1459620444,277213,149611867
"841",1459620444,274441,018115749
"842",1459620444,271696,607934591
"843",1459620444,268979,641855245
"844",1459620444,266289,845436693
"845",1459620444,263626,946982326
"846",1459620444,260990,677512503
"847",1459620444,258380,770737378
"848",1459620444,255796,963030004
"849",1459620444,253238,993399704
"850",1459620444,250706,603465707
"851",1459620444,248199,53743105
"852",1459620444,245717,542056739
"853",1459620444,243260,366636172
"854",1459620444,240827,76296981
"855",1459620444,238419,485340112
"856",1459620444,236035,290486711
"857",1459620444,233674,937581844
"858",1459620444,231338,188206025
"859",1459620444,229024,806323965
"860",1459620444,226734,558260725
"861",1459620444,224467,212678118
"862",1459620444,222222,540551337
"863",1459620444,220000,315145824
"864",1459620444,217800,311994365
"865",1459620444,215622,308874422
"866",1459620444,213466,085785678
"867",1459620444,211331,424927821
"868",1459620444,209218,110678543
"869",1459620444,207125,929571757
"870",1459620444,205054,67027604
"871",1459620444,203004,123573279
"872",1459620444,200974,082337546
"873",1459620444,198964,341514171
"874",1459620444,196974,698099029
"875",1459620444,195004,951118039
"876",1459620444,193054,901606858
"877",1459620444,191124,35259079
"878",1459620444,189213,109064882
"879",1459620444,187320,977974233
"880",1459620444,185447,768194491
"881",1459620444,183593,290512546
"882",1459620444,181757,357607421
"883",1459620444,179939,784031346
"884",1459620444,178140,386191033
"885",1459620444,176358,982329122
"886",1459620444,174595,392505831
"887",1459620444,172849,438580773
"888",1459620444,171120,944194965
"889",1459620444,169409,734753016
"890",1459620444,167715,637405485
"891",1459620444,166038,481031431
"892",1459620444,164378,096221116
"893",1459620444,162734,315258905
"894",1459620444,161106,972106316
"895",1459620444,159495,902385253
"896",1459620444,157900,9433614
"897",1459620444,156321,933927786
